head, tail
강아지004, 담배001
강아지004, 이르다001
강아지004, 말001
강연004, 일정003
강연004, 주제004
강연004, 대하다002
강연004, 청중001
강연004, 앞001
강연004, 강의002
강연004, 형식001
강연004, 말001
강의002, 학문002
강의002, 기술001
강의002, 일정003
강의002, 내용002
강의002, 체계003
강의002, 설명001
강의002, 가르침001
강하다003, 물리002
강하다003, 힘001
강하다005, 견디다001
강하다005, 힘001
강하다005, 대처003
강하다005, 능력002
갖가지001, 가지가지001
갖가지001, 준말001
갖추다001, 가지다001
갖추다001, 차리다001
같이하다001, 경험001
같이하다001, 생활001
같이하다001, 얼마001
같이하다001, 동안001
같이하다001, 더불다001
같이하다001, 하다001
같이하다002, 뜻001
같이하다002, 행동001
같이하다002, 때001
같이하다002, 동일002
같이하다002, 취하다001
개003, 갯과001
개003, 포유003
개003, 가축002
개003, 사람001
개003, 따르다001
개003, 영리006
개003, 일반002
개003, 늑대001
개003, 생기다001
개003, 이빨001
개003, 있다001
개003, 냄새001
개003, 맡다001
개003, 귀001
개003, 사냥001
개003, 군용002
개003, 맹인001
개003, 선도013
개003, 마약001
개003, 폭약001
개003, 탐지001
개003, 쓰이다001
개003, 세계002
개003, 걸치다001
개003, 모양002
개003, 크기001
개003, 색깔001
개003, 여007
개003, 품종001
개003, 있다001
개004, 행실001
개004, 사람001
개004, 비속002
개004, 이르다001
개004, 말001
개005, 사람001
개005, 앞잡이001
개005, 노릇001
개005, 하다001
개005, 사람001
개005, 낮잡다001
개005, 이르다001
개005, 말001
개구리001, 양서강001
개구리001, 개구리목001
개구리001, 동물001
개구리001, 이르다001
개구리001, 말001
개구리002, 개구릿과001
개구리002, 몸001
개구리002, 길이001
개구리002, 이다003
개구리002, 녹색001
개구리002, 띠다001
개구리002, 갈색001
개구리002, 갈색001
개구리002, 무늬001
개구리002, 머리001
