key,subnodes
"가벼운입술소리001",1
"가변004",1
"가변선004",1
"가변성001",1
"가변성004",1
"가변어001",1
"가변형004",1
"가병001",1
"가병004",1
"가보001",1
"가보003",1
"가보004",1
"가복001",1
"가복002",1
"가복004",1
"가본001",1
"가봉001",5
"가봉002",1
"가봉003",1
"가봉녀001",1
"가봉자001",1
"가부001",3
"가부002",17
"가부003",1
"가부006",1
"가부008",1
"가부009",1
"가부010",1
"가부권001",1
"가부권004",1
"가부리살001",1
"가부장001",1
"가부장권001",1
"가부장권004",1
"가부장제001",1
"가부좌001",1
"가분001",1
"가분004",1
"가분물004",1
"가분수001",1
"가분수018",1
"가불001",1
"가불002",1
"가불003",1
"가불가001",1
"가비001",1
"가비002",1
"가빈001",1
"가사001",11
"가사002",3
"가사003",5
"가사004",1
"가사005",1
"가사007",2
"가사010",1
"가사011",4
"가사012",1
"가사013",1
"가사014",1
"가사036",1
"가사리002",1
"가사리004",1
"가사일001",1
"가산001",1
"가산002",1
"가산004",1
"가산005",1
"가산018",1
"가산기001",2
"가산란004",1
"가산법009",1
"가산산성004",1
"가산세001",1
"가산세004",1
"가산점001",1
"가산점005",1
"가삼001",1
"가삼012",1
"가상001",1
"가상002",1
"가상004",1
"가상005",1
"가상006",1
"가상007",1
"가상010",1
"가상계002",1
"가상공간001",1
"가상공간003",2
"가상도001",1
"가상사001",1
"가상적001",1
"가상전001",1
"가상현실001",1
"가새틀음001",3
"가새틀음002",2
"가새표001",1
"가새풀001",2
"가생001",1
"가서002",1
"가서003",3
"가석방001",1
"가석방자004",1
"가선002",1
"가선003",1
"가선대부004",1
"가설001",4
"가설002",1
"가설003",2
"가설004",1
"가설005",2
"가설006",1
"가설007",1
"가설단부004",1
"가설동지004",1
"가설무대001",1
"가설무대002",1
"가설법001",1
"가설지사004",1
"가성001",1
"가성002",1
"가성004",1
"가성005",1
"가성006",1
"가성007",1
"가성008",1
"가성가리001",1
"가성석회001",1
"가성성001",2
"가성칼리001",1
"가세001",1
"가세002",1
"가세005",1
"가세006",1
"가세007",1
"가소001",1
"가소성001",1
"가속001",1
"가속003",1
"가속기001",7
"가속기002",1
"가속기003",1
"가속기005",2
"가속기025",2
"가속도001",1
"가속도002",1
"가속장치001",1
"가속페달001",1
"가속화001",1
"가솔린001",7
"가솔린003",2
"가솔린차001",1
"가송001",1
"가쇄002",1
"가수001",13
"가수002",6
"가수003",2
"가수004",3
"가수009",1
"가수010",2
"가수012",1
"가수013",2
"가수015",17
"가수018",1
"가수면001",1
"가수분해효소001",1
"가수성장001",1
"가수알바람001",1
"가수요001",1
"가수요002",1
"가수요009",1
"가수요자001",1
"가수요자009",1
"가스001",38
"가스002",3
"가스003",38
"가스004",10
"가스경유001",1
"가스관001",1
"가스교환001",1
"가스교환003",2
"가스교환005",9
"가스난로001",1
"가스도관001",1
"가스등001",1
"가스램프001",1
"가스레인지001",1
"가스마스크001",1
"가스방전001",1
"가스버너001",1
"가스보일러001",1
"가스사001",1
"가스색전증001",2
"가스색전증006",2
"가스스토브001",1
"가스실001",1
"가스실002",1
"가스실003",1
"가스유001",1
"가스유002",1
"가스전001",1
"가스중독001",1
"가스체001",2
"가스체002",2
"가스총001",1
"가스총002",1
"가스층001",1
"가스통001",1
"가스펠001",1
"가스펠002",5
"가스펠005",1
"가슴001",14
"가슴002",8
"가슴003",4
"가슴004",3
"가슴005",1
"가슴006",2
"가슴010",7
"가슴걸이001",2
"가슴근001",6
"가슴둘레001",1
"가슴등뼈001",1
"가슴뼈001",1
"가슴살001",2
"가슴속001",2
"가슴속006",2
"가슴앓이001",2
"가슴앓이002",2
"가슴지느러미001",1
"가슴지느러미003",1
"가슴팍001",1
"가슴패기001",1
"가습기001",1
"가습제001",1
"가승001",1
"가승004",1
"가승006",11
"가승007",2
"가시001",2
"가시002",1
"가시003",1
"가시005",3
"가시011",1
"가시016",2
"가시고기001",1
"가시고기004",1
"가시광선001",1
"가시굴001",1
"가시권001",1
"가시나무001",1
"가시나무002",1
"가시나무004",1
"가시덤불001",1
"가시목001",1
"가시반경001",1
"가시방석001",1
"가시밭001",1
"가시밭길001",1
"가시버시001",1
"가시선001",1
"가시쇠줄001",1
"가시신호001",1
"가시아래근001",1
"가시아비001",1
"가시어미001",1
"가시오가피001",1
"가시위근001",1
"가시줄001",1
"가시집001",1
"가시철사001",1
"가시털001",1
"가시털004",1
"가시화001",1
"가식001",72113
"가식002",5
"가식003",72113
"가식004",72114
"가식006",3
"가식적001",1
"가신001",3
"가신004",1
"가신005",1
"가신006",1
"가신007",11
"가신009",6
"가실001",1
"가심001",3
"가심002",2
"가심019",2
"가십001",1
"가쓰오부시001",1
"가아001",1
"가아002",1
"가안001",1
"가압001",1559
"가압002",1
"가압003",1
"가압류001",1
"가압류002",1
"가애001",1
"가애002",8
"가애004",1
"가액001",1
"가야001",1
"가야국001",1
"가야금001",1
"가야금006",1
"가약001",1
"가약002",1
"가약004",1
"가약018",1
"가약분수001",1
"가양001",1
"가양002",1
"가양003",1
"가양성002",1
"가어001",1
"가어002",2
"가어006",1
"가언적판단001",2
"가엄001",1
"가엄002",1
"가업001",1
"가업002",1
"가업003",1
"가업004",1
"가역001",1
"가역002",1
"가역성001",1
"가연001",2
"가연물001",1
"가연성001",1
"가연성가스001",8
"가연성가스002",2
"가연체001",1
"가열001",2
"가열002",2
"가열003",2
"가열004",1
"가열기001",16
"가열로001",1
"가엽001",1
"가오리001",13
"가오리연001",1
"가오리찜001",1
"가오릿과001",17
"가오릿과002",2
"가옥001",1
"가옥002",2
"가옥003",1
"가옥세001",3
"가옥신001",11
"가온음001",1
"가온음006",1
"가온음자리표001",1
"가와코036",1
"가와타로036",1
"가왕001",1
"가외001",1
"가외002",1
"가욋돈001",1
"가욋사람001",1
"가요001",1
"가요002",1
"가요003",1
"가요004",17
"가요005",1
"가요023",1
"가요계001",1
"가요계003",1
"가요곡002",1
"가요곡003",1
"가요문001",1
"가요방001",1
"가요제001",1
"가용001",3
"가용004",1
"가용008",1
"가용성001",1
"가우일001",1
"가우절001",1
"가운001",1
"가운002",1
"가운004",1
"가운데001",72113
"가운데002",4
"가운데003",2
"가운데004",126
"가운데005",2
"가운데008",2
"가운데009",2
"가운데010",2
"가운데012",2
"가운데귀001",1
"가운데귀002",1
"가운데귀염002",1
"가운데뜰001",1
"가운데톨001",1
"가운뎃소리001",1
"가운뎃손가락001",1
"가운뎃점001",1
"가웅예012",1
"가월001",1
"가위001",11
"가위002",2
"가위003",1
"가위004",2
"가위바위보001",1
"가위질001",1
"가위표001",1
"가윗날001",1
"가유002",1
"가율001",1
"가을001",94
"가을002",48
"가을003",3
"가을004",4
"가을005",4
"가을갈이001",1
"가을갈이003",1
"가을걷이001",1
"가을걷이003",1
"가을걷이철001",1
"가을고치001",1
"가을날001",1
"가을누에001",1
"가을맞이001",1
"가을밀001",1
"가을바람001",3
"가을바람002",2
"가을밤001",1
"가을밭001",1
"가을배추001",1
"가을볕001",1
"가을보리001",1
"가을봄001",1
"가을비001",1
"가을빛001",1
"가을살이001",1
"가을일001",1
"가을장마001",1
"가을줄이001",1
