"head","tail"
"맞연귀001","큰연귀001"
"맞연귀001","맞댄연귀001"
"맞이음001","맞댄이음001"
"맞댐면002","맞댐자리001"
"맞배지붕001","게이블지붕001"
"맞배지붕001","뱃집지붕001"
"맞벽치기001","맞벽질001"
"맞춤다리001","가반교001"
"맞춤집001","공장생산주택001"
"맞턱이음001","맞장부이음001"
"매흙001","매008"
"매립지001","성토지001"
"매축001","매적001"
"맨틀001","맨틀피스001"
"맹장지살001","도듬문살001"
"머름궁창001","머름착고001"
"머름궁창001","머름청판001"
"머름중방001","머름윗대001"
"머름청판001","머름착고001"
"메갈로폴리스001","초거대도시001"
"면접기001","면치기001"
"면접기001","모걷기001"
"면치기001","귀접이002"
"명귀틀001","장이기001"
"명귀틀001","장귀틀001"
"명장지001","명장자001"
"명두001","대접받침001"
"모걷기001","귀접이002"
"모접기001","챔퍼링001"
"모접이001","귀접이002"
"모죽이기001","면치기001"
"모죽이기001","모걷기001"
"모죽이기001","귀접이002"
"모치기001","면접기001"
"모끼연001","목계001"
"모루초001","머리초001"
"모서리쇠001","코너비드001"
"모와001","부와002"
"모전탑001","벽탑001"
"모터홈001","이동주택001"
"모터홈001","모빌하우스001"
"모퉁잇돌001","주초석001"
"모퉁잇돌001","주춧돌001"
"목골조001","목골구조001"
"목구조001","목조003"
"목반자001","널반자001"
"목반자002","격자천장001"
"목만001","나무손001"
"목만001","나무흙손001"
"못서까래001","못서001"
"묘두와001","막새기와002"
"묘두와001","방초003"
"무량판001","버섯바닥판001"
"무빙워크웨이001","이동보도001"
"무빙워크웨이001","자동보행기001"
"무사석002","무사005"
"무지개다리001","아치교001"
"문골001","문광001"
"문기둥001","문설주001"
"문둔테001","둔테001"
"문설주001","선단002"
"문얼굴001","문광001"
"문얼굴001","문틀002"
"문얼굴001","문골001"
"문중방001","중방004"
"문중방001","중인방001"
"문테001","문골001"
"문틀002","문광001"
"문곁설중방001","문설주001"
"문곁설중방001","선단002"
"문선005","문짝002"
"문선006","선틀001"
"문주002","문기둥001"
"문주002","선단002"
"물올림001","수평보기001"
"물림004","물림퇴001"
"물림004","퇴004"
"물림퇴001","퇴004"
"물림퇴001","물림간001"
"물막잇둑001","방숫둑001"
"미즈이토001","수평줄001"
"민가락지001","평가락지001"
"민난간001","평란002"
"밑띳방001","밑띳장001"
"바깥벽001","밭벽001"
"바라지003","바라지창002"
"바라지003","망창002"
"바라지창001","바라지002"
"바라지창002","망창002"
"박공널001","게이블001"
"박공널001","박공001"
"박공널001","박풍001"
"박공지붕001","뱃집지붕001"
"박공판001","박풍001"
"박공판001","박공001"
"밖촉연귀001","밖연귀001"
"반방전001","반전010"
"반오량001","사량001"
"반오량001","반오량지붕틀001"
"반칠량가001","엇칠량001"
"반칠량가001","엇치량001"
"반턱002","관자턱001"
"반하방001","하방담001"
"반화방001","반화방벽001"
"반잣대받이001","반자틀받이001"
"반장005","반담001"
"반턱대패001","반턱변탕001"
"반턱이음001","사모턱이음001"
"반턱쪽매001","변탕쪽매001"
"받침점001","지점002"
"발디딤002","소단003"
"발디딤002","답로001"
"발판005","비계발판001"
"발코니석001","발코니002"
"밤자갈001","구슬자갈001"
"방밑001","방저002"
"방동제001","동결방지제001"
"방두003","뺄목001"
"방성머리001","방석머리초001"
"방수층001","물막이층001"
"방수토001","물막이흙001"
